img_obj,url,width,height,format
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999423A30>,https://i.travelapi.com/hotels/1000000/290000/280900/280848/42ab9fbf_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E499956FEB0>,https://i.travelapi.com/hotels/2000000/1560000/1554800/1554762/7fb29a63_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=233x350 at 0x7E499956F1C0>,https://i.travelapi.com/hotels/1000000/50000/45800/45779/b3f8b4f3_b.jpg,233,350,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x245 at 0x7E49994216C0>,https://i.travelapi.com/hotels/1000000/10000/6500/6471/56a150d2_b.jpg,350,245,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E499956DF30>,https://i.travelapi.com/hotels/6000000/5260000/5259300/5259249/ad2b1f45_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E49994237C0>,https://i.travelapi.com/hotels/2000000/1050000/1046300/1046252/3fba9dde_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E499956E380>,https://i.travelapi.com/hotels/1000000/440000/439400/439319/f47f9137_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x283 at 0x7E499956EF20>,https://i.travelapi.com/hotels/1000000/20000/19000/18940/ec65e43a_b.jpg,350,283,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1024 at 0x7E499956E170>,https://traffickcam.com/images/2018/6/20170520_212909_DUZOPK.jpg,768,1024,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x263 at 0x7E4999422620>,https://i.travelapi.com/hotels/6000000/5780000/5771300/5771266/8b0f1c36_b.jpg,350,263,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A60220>,https://i.travelapi.com/hotels/1000000/900000/895900/895833/3664cbf7_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x232 at 0x7E4998A60CA0>,https://i.travelapi.com/hotels/2000000/1330000/1321300/1321278/5f741383_b.jpg,350,232,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=258x350 at 0x7E4998A61600>,https://i.travelapi.com/hotels/1000000/910000/905700/905634/ed6a9585_b.jpg,258,350,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E499956E770>,https://i.travelapi.com/hotels/1000000/50000/42900/42836/63ea0de6_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x263 at 0x7E49AE1D5A20>,https://i.travelapi.com/hotels/1000000/450000/447300/447235/ca85fecb_b.jpg,350,263,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999420D00>,https://i.travelapi.com/hotels/2000000/1190000/1180100/1180093/b6609255_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A611B0>,https://i.travelapi.com/hotels/1000000/930000/921900/921868/96b92797_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A60F40>,https://i.travelapi.com/hotels/3000000/2700000/2691600/2691533/510ce215_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E49994231C0>,https://i.travelapi.com/hotels/2000000/1610000/1600500/1600469/eefdb5bf_b.jpg,350,233,JPEG
